source,event,date,replicate,window_idx,t_start_s,t_end_s,dop_mean,dop_std,dop_min,dop_max,step_mean,step_std,step_max,step_rms,step_p95,cum_arc,theta_mean,theta_std,theta_max,theta_rms,psd_peak_freq,psd_peak_power,bp_low,bp_mid,bp_high,s1_std,s2_std,s3_std,s1_range,s2_range,s3_range
DPQPSK-200G,MB,310326,2,9,27.0001,33.0001,1.0,8.465948951180527e-17,0.9999999999999998,1.0000000000000002,8.334904119525326,5.09617091301954,47.059475762935826,9.76942089667482,17.708154665932838,68379.55339658578,9.873669016634288,9.217632284373531,116.1144130240367,13.507556580668803,11.455278592415192,0.0002645656729693973,0.002671076887934278,0.0011211223051972908,0.002050694160459159,0.10115272848431131,0.17840799550517802,0.09099963638149446,0.9542134587827569,1.66197244128453,1.1745018840925443
DPQPSK-200G,MB,310326,2,10,30.0001,36.0001,1.0,8.410065779558737e-17,0.9999999999999998,1.0000000000000002,9.314303774308417,7.065905718601359,92.74965792001487,11.691162406889205,21.00281446168542,77774.43651547529,16.828314457598943,26.90661524892452,157.14673300800797,31.73575446775279,5.761430678521166,0.0012223078406494964,0.009714607040922398,0.002986420552181242,0.003269692212354452,0.1443651340045232,0.3562364535999313,0.24253248624711107,1.5997068260978695,1.7144705916084926,1.6801526677447525
DPQPSK-200G,MB,310326,2,11,33.0001,39.0001,1.0,8.38833823288482e-17,0.9999999999999997,1.0000000000000002,9.286443586905149,7.048069512643639,92.74965792001487,11.658186752142397,20.557304391783333,77309.64286098536,16.59708225896245,27.123932155850447,157.14673300800797,31.79891248306998,5.7108918128681285,0.0009655142477440605,0.007465958689769632,0.0030917011638701215,0.003123327577904311,0.14175620424408075,0.3609609042794027,0.24004996715909044,1.5997068260978695,1.7144705916084926,1.679957150960185
DPQPSK-200G,MB,310326,2,12,36.0001,42.0001,1.0,8.344437325994057e-17,0.9999999999999997,1.0000000000000002,8.82528416583981,5.4637849905457045,65.1163202996922,10.379719988069784,18.669217826532847,74370.66966553207,9.945368791438892,8.391993659561157,76.34614173484127,13.012913508505363,11.505891016232528,0.00019194209137900475,0.0017622947216416067,0.0011100108100620496,0.00229419131192715,0.11716041594534267,0.1711092585585519,0.07872650476932908,1.309438438179869,1.3482095252241169,0.6622220243159993
DPQPSK-200G,MB,310326,2,13,39.0001,45.0001,1.0,8.354282813777346e-17,0.9999999999999997,1.0000000000000002,9.09105351662336,5.652103823444333,54.05809199982266,10.7048368354265,19.45363422260102,76783.0380014009,10.105815287574012,8.055767903646352,65.88710462599761,12.923733947431113,11.556952662746399,0.00014562350485669464,0.00135028615025753,0.0011207920369289339,0.0024133797907018913,0.11802241667909011,0.16769393890878015,0.08145077401284506,1.2831801003011405,1.2956408310842131,0.48109971948338726
DPQPSK-200G,MB,310326,2,14,42.0001,48.0001,1.0,8.462028812495253e-17,0.9999999999999997,1.0000000000000002,9.026743798963665,5.88464382219129,94.20961725992946,10.775487762796777,19.503901040108605,74994.18748179013,10.346071146004423,10.044133815490246,140.33484540373627,14.41963287541191,5.620503597119599,0.0004378343783552081,0.0038376644155655435,0.00403154322110603,0.0030031706069794505,0.10929223377783993,0.1826261105554672,0.10671666249325275,1.3148661890026188,1.6547031283206364,1.5393515649083458
DPQPSK-200G,MB,310326,2,15,45.0001,51.0001,1.0,8.401557971317553e-17,0.9999999999999997,1.0000000000000002,9.006829084467343,6.053232418092262,94.20961725992946,10.851939589965006,19.261258532844703,73991.10092889922,13.247126235228064,21.411054260129347,156.2427045081872,25.17775998817748,5.612428160879907,0.0012159547864583277,0.010645955841092737,0.004189439940040899,0.003219529843252947,0.13034175760166392,0.2794465407064222,0.198575297964858,1.3596354829075294,1.659370186857771,1.6242994692628399
DPQPSK-200G,MB,310326,2,16,48.0001,54.0001,1.0,8.358493663296179e-17,0.9999999999999997,1.0000000000000002,8.977135970771595,5.920586858021865,81.76673782080007,10.753711869912756,18.800637072921624,74366.5943818719,12.66196492347484,21.100359497874877,156.2427045081872,24.60793625363301,5.604375896738057,0.0012211607640360575,0.010782229303376557,0.003281793024773765,0.002939028946624962,0.12494333049530944,0.2748557975991272,0.1906357132613521,1.351037428843851,1.6805114495852305,1.6242994692628399
DPQPSK-200G,MB,310326,2,17,51.0001,57.0001,1.0,8.315079002677462e-17,0.9999999999999997,1.0000000000000002,9.062644088838411,5.783409477220305,81.76673782080007,10.750783369697274,19.207091449764995,75618.7022772677,9.736711260242501,9.181396965573887,141.50324629612206,13.382884457574253,5.612428160937204,0.0002676545896672189,0.002536279437848085,0.001218533163436427,0.002626617207312922,0.10056984948371692,0.17421166178519537,0.09179606805340776,1.254650953402351,1.676115319050738,1.4749092788401894
DPQPSK-200G,MB,310326,2,18,54.0001,60.0001,1.0,8.405173850785523e-17,0.9999999999999998,1.0000000000000002,9.458649952995058,5.944506408852333,53.17174154936094,11.17153594534699,20.276634892161503,78989.18575746173,10.059951972056403,7.116663726687238,65.66750915973171,12.322724385411993,11.224856321874409,0.00030883992541951314,0.002525913009141223,0.001534693841072092,0.0030251827236119004,0.10512838879070488,0.1647891481311393,0.0819454231867564,1.1628119624028388,1.2943009786006665,0.5528995776381017
