Time_s,S0,S1,S2,S3
0.192875,0.041870,-0.266388,-0.665955,-0.700897
0.193740,0.038208,-0.180298,-0.639435,-0.752411
0.194539,0.041718,-0.155731,-0.723694,-0.673248
0.195694,0.037994,-0.159210,-0.728577,-0.671448
0.196968,0.042969,-0.231934,-0.757477,-0.614899
0.198457,0.046326,-0.146851,-0.714294,-0.688507
0.199588,0.038544,-0.061462,-0.750000,-0.658905
0.200270,0.035553,-0.248688,-0.677277,-0.698425
0.200966,0.036560,-0.202332,-0.769775,-0.606995
0.202091,0.041046,-0.391113,-0.684448,-0.617798
0.203258,0.039337,-0.248840,-0.802338,-0.548859
0.204158,0.039795,-0.412445,-0.578369,-0.709686
0.204925,0.042633,-0.384644,-0.715820,-0.585480
0.205881,0.036469,-0.235016,-0.687500,-0.692505
0.206978,0.037567,-0.298553,-0.716034,-0.633514
0.208190,0.034760,-0.171082,-0.765808,-0.623688
0.208986,0.043030,-0.376617,-0.736176,-0.565979
0.209802,0.043793,-0.094147,-0.809631,-0.585785
0.210486,0.037689,-0.195129,-0.712219,-0.680511
0.211292,0.040009,-0.108704,-0.701111,-0.711975
0.212408,0.037384,-0.046814,-0.756165,-0.655182
0.213351,0.039825,0.000000,-0.721222,-0.695862
0.214719,0.034851,-0.219788,-0.758087,-0.616943
0.215796,0.040375,-0.400482,-0.674225,-0.624451
0.216823,0.041748,-0.311432,-0.750000,-0.587738
0.217707,0.044647,-0.224518,-0.769409,-0.602051
0.218754,0.042450,-0.168640,-0.503937,-0.850983
0.219499,0.041138,-0.087067,-0.660736,-0.747772
0.220165,0.047607,-0.006317,-0.684875,-0.731110
0.220812,0.046509,-0.156128,-0.638367,-0.758911
0.221581,0.043884,-0.041290,-0.604370,-0.796143
0.222250,0.046997,-0.132812,-0.687500,-0.716797
0.223001,0.048218,-0.188019,-0.590912,-0.789276
0.223657,0.049469,-0.021118,-0.641357,-0.772156
0.224384,0.039612,-0.066833,-0.668213,-0.741943
0.225144,0.047821,-0.132721,-0.736542,-0.663483
0.225825,0.043732,-0.130859,-0.650391,-0.750000
0.226505,0.040436,-0.183258,-0.622192,-0.762451
0.227284,0.040802,-0.115387,-0.640289,-0.764709
0.228070,0.043335,-0.128693,-0.626587,-0.770050
0.229238,0.048279,-0.214905,-0.640442,-0.740448
0.230520,0.047272,-0.054291,-0.744202,-0.666687
0.231806,0.051117,-0.207886,-0.645172,-0.738373
0.232936,0.045441,-0.194794,-0.588379,-0.787170
0.233630,0.041382,-0.077789,-0.626678,-0.780029
0.234676,0.047729,-0.191589,-0.609222,-0.772034
0.235350,0.044281,-0.056305,-0.690491,-0.725128
0.236028,0.041260,-0.187256,-0.565765,-0.806793
0.236709,0.044250,-0.110443,-0.620850,-0.779175
0.237436,0.041229,-0.113770,-0.668274,-0.736969
0.238111,0.048767,-0.128479,-0.697632,-0.707520
0.238898,0.049683,-0.151306,-0.634705,-0.758331
0.239652,0.041626,-0.152008,-0.592529,-0.792969
0.240321,0.047699,-0.252899,-0.648651,-0.720093
0.241000,0.050323,-0.116791,-0.687958,-0.718994
0.241650,0.048462,-0.269836,-0.581146,-0.769836
0.242715,0.046112,-0.172638,-0.607147,-0.779785
0.243602,0.043976,-0.150024,-0.545837,-0.829193
0.244486,0.042938,-0.106842,-0.651733,-0.756439
0.246292,0.042633,-0.218903,-0.673828,-0.710327
0.247841,0.041046,-0.228912,-0.600006,-0.766693
0.249800,0.050903,-0.247314,-0.519867,-0.821320
0.251519,0.042633,-0.188843,-0.585846,-0.789703
0.253194,0.050293,-0.054413,-0.617157,-0.786621
0.255160,0.046051,-0.114502,-0.651886,-0.750000
0.257030,0.044830,-0.266541,-0.545471,-0.799591
0.258542,0.044128,-0.031250,-0.666687,-0.750000
0.259845,0.040985,-0.212067,-0.671875,-0.712067
0.260950,0.046478,-0.261932,-0.803589,-0.541687
0.262998,0.037292,-0.151978,-0.801483,-0.583344
0.265720,0.047211,-0.244202,-0.759705,-0.602722
0.267663,0.041656,-0.182831,-0.658600,-0.731293
0.269544,0.047394,-0.269409,-0.700439,-0.665955
0.270326,0.034973,-0.214661,-0.693726,-0.691101
0.271024,0.040039,-0.200012,-0.675018,-0.711365
0.271850,0.042450,-0.071442,-0.729462,-0.681824
0.272678,0.041260,-0.145752,-0.780273,-0.609894
0.273417,0.040894,-0.378937,-0.641266,-0.668182
0.274158,0.046326,-0.285736,-0.750000,-0.597229
0.274820,0.042053,-0.131592,-0.769745,-0.631592
0.275463,0.035278,-0.151855,-0.748718,-0.651855
0.276132,0.039917,-0.274567,-0.727692,-0.631714
0.276903,0.042725,-0.153046,-0.788818,-0.601318
0.277664,0.043243,-0.175262,-0.693939,-0.700958
0.278362,0.040527,-0.298645,-0.744354,-0.604095
0.279207,0.041504,-0.438934,-0.608612,-0.667450
0.280013,0.041962,-0.240204,-0.705261,-0.668152
0.280752,0.040161,-0.041107,-0.730621,-0.682678
0.281392,0.038330,-0.300507,-0.629822,-0.718750
0.282078,0.043152,-0.254333,-0.769409,-0.592682
0.282732,0.043396,-0.105530,-0.698517,-0.713593
0.283485,0.038452,-0.292877,-0.676208,-0.678589
0.284188,0.041901,-0.236755,-0.771454,-0.593903
0.284808,0.042480,-0.091492,-0.804901,-0.589447
0.285512,0.038788,-0.164337,-0.697205,-0.704254
0.286133,0.036896,-0.210419,-0.685669,-0.698029
0.286785,0.045105,-0.143463,-0.731567,-0.672150
0.287511,0.031189,-0.076935,-0.639069,-0.772217
0.288236,0.040924,-0.358826,-0.576416,-0.738434
0.288987,0.042938,-0.130371,-0.728638,-0.677368
0.289647,0.037689,-0.126221,-0.730591,-0.672333
0.290338,0.033142,-0.352783,-0.597229,-0.722229
0.290959,0.044586,-0.286896,-0.643463,-0.711090
0.291662,0.043365,-0.305908,-0.704651,-0.643463
0.292365,0.038269,-0.370209,-0.644257,-0.675507
0.293062,0.038422,-0.440643,-0.605042,-0.664398
0.293761,0.040405,-0.145477,-0.686371,-0.718201
0.294436,0.037262,-0.197876,-0.735321,-0.649750
0.295122,0.042145,-0.395599,-0.694794,-0.604431
0.296525,0.037048,-0.201782,-0.710541,-0.677643
0.297453,0.037415,-0.362091,-0.561584,-0.746307
0.298385,0.034973,-0.213165,-0.694763,-0.689484
0.299039,0.043213,-0.409302,-0.668793,-0.622375
0.299700,0.040985,-0.184235,-0.748810,-0.643555
0.300349,0.040192,-0.272949,-0.646790,-0.717896
0.300995,0.040009,-0.079926,-0.506866,-0.858459
0.301618,0.042603,-0.072968,-0.673828,-0.736053
0.302248,0.047821,-0.055786,-0.653870,-0.757721
0.302905,0.040436,-0.226257,-0.579193,-0.787354
0.303539,0.045380,-0.024292,-0.633606,-0.773285
0.304270,0.044861,-0.204926,-0.645508,-0.739777
0.304982,0.045502,-0.180176,-0.599213,-0.781403
0.305728,0.042572,-0.200012,-0.534149,-0.821960
0.306531,0.048096,-0.207703,-0.711548,-0.676941
0.307298,0.041107,-0.084412,-0.597076,-0.799591
0.308084,0.044342,-0.150848,-0.512421,-0.847137
0.308805,0.046936,-0.126038,-0.663239,-0.741760
0.309486,0.045380,-0.100006,-0.677551,-0.732666
0.310373,0.045197,-0.109314,-0.682190,-0.726746
0.311298,0.053284,-0.156921,-0.684509,-0.712097
0.312087,0.043060,-0.207275,-0.489319,-0.850433
0.312744,0.042114,-0.232483,-0.598694,-0.771942
0.313491,0.040405,-0.002289,-0.743195,-0.672729
0.314205,0.043488,-0.065430,-0.508453,-0.858673
0.314921,0.042297,-0.122620,-0.622620,-0.775879
0.315689,0.041229,-0.111572,-0.703217,-0.703217
0.316466,0.041534,-0.075836,-0.580597,-0.815186
0.317274,0.047546,-0.085297,-0.742249,-0.664734
0.318070,0.048492,-0.143402,-0.592468,-0.796234
0.318716,0.041534,-0.081512,-0.634369,-0.773132
0.319359,0.044708,-0.159851,-0.676239,-0.723389
0.320063,0.040710,-0.138031,-0.588257,-0.800934
0.320770,0.041199,-0.188904,-0.651123,-0.740021
0.321800,0.042572,-0.150238,-0.607300,-0.781128
0.322500,0.046906,-0.206238,-0.628418,-0.750977
0.323196,0.048584,-0.154602,-0.654602,-0.742371
0.323904,0.040527,-0.217804,-0.619324,-0.755707
0.324817,0.044342,-0.118286,-0.609985,-0.786316
0.325992,0.048920,-0.122192,-0.650391,-0.751892
0.326737,0.040741,-0.135773,-0.658386,-0.744354
0.327696,0.044861,-0.048981,-0.634705,-0.773499
0.328353,0.041931,-0.149597,-0.643188,-0.754303
0.329123,0.049561,-0.147614,-0.610718,-0.780457
0.329998,0.050049,-0.126862,-0.656250,-0.744507
0.330659,0.043610,0.033600,-0.682800,-0.731110
0.331313,0.044403,-0.123993,-0.590912,-0.801666
0.331934,0.049408,-0.271393,-0.602234,-0.754669
0.332696,0.041443,-0.073669,-0.674133,-0.736633
0.333342,0.052826,-0.176117,-0.637665,-0.755066
0.333967,0.048431,-0.241516,-0.611328,-0.758514
0.334676,0.036591,-0.108063,-0.545227,-0.831665
0.335437,0.044708,-0.026642,-0.713135,-0.700836
0.336065,0.048523,-0.240021,-0.508026,-0.828003
0.336741,0.045654,-0.186768,-0.686768,-0.702820
0.337386,0.043915,-0.185425,-0.572937,-0.800018
0.338111,0.047638,-0.113922,-0.681488,-0.727814
0.338762,0.042480,-0.012939,-0.655182,-0.758636
0.339440,0.045105,-0.224670,-0.678436,-0.702667
0.340062,0.047089,-0.195312,-0.644531,-0.742188
0.340763,0.042084,-0.191498,-0.653198,-0.734070
0.341487,0.045685,-0.095032,-0.674225,-0.737579
0.342107,0.037750,-0.216675,-0.769073,-0.602386
0.343012,0.036224,-0.114807,-0.663269,-0.744904
0.343766,0.034576,-0.270203,-0.649017,-0.714661
0.344415,0.039307,-0.281403,-0.739563,-0.618622
0.345114,0.040314,-0.193146,-0.697449,-0.695282
0.345774,0.040771,-0.342346,-0.718475,-0.605865
0.346420,0.037048,-0.195557,-0.705475,-0.688141
0.347116,0.043854,-0.092529,-0.755524,-0.654205
0.347740,0.036804,-0.317505,-0.652527,-0.690002
0.348363,0.039856,-0.188080,-0.745422,-0.642212
0.348984,0.046906,-0.090210,-0.737274,-0.674530
0.349691,0.036011,-0.306641,-0.651947,-0.698914
0.350318,0.039520,-0.294647,-0.745544,-0.602692
0.350964,0.045746,-0.150604,-0.769104,-0.624512
0.351585,0.037689,-0.302460,-0.668304,-0.682953
0.352289,0.046875,-0.227631,-0.822968,-0.527252
0.352910,0.047821,-0.273956,-0.655182,-0.704987
0.353563,0.043884,-0.387054,-0.713409,-0.587891
0.354184,0.042908,-0.158142,-0.775665,-0.617523
0.355006,0.047546,-0.170563,-0.763580,-0.627930
0.355955,0.039124,-0.021240,-0.726440,-0.691040
